Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;Dato;Fra tidspunkt;Til tidspunkt;Felt;Trafikkmengde;Dekningsgrad (%);Antall timer total;Antall timer inkludert;Antall timer ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T14:00+01:00;2022-03-08T15:00+01:00;08.03.2022;14:00;15:00;1;667;100;1;1;0;0;100;636;31;10;6;12;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T14:00+01:00;2022-03-08T15:00+01:00;08.03.2022;14:00;15:00;2;462;100;1;1;0;0;100;430;32;6;13;11;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T14:00+01:00;2022-03-08T15:00+01:00;08.03.2022;14:00;15:00;Totalt i retning Kvaløya;667;100;1;1;0;0;100;636;31;10;6;12;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T14:00+01:00;2022-03-08T15:00+01:00;08.03.2022;14:00;15:00;Totalt i retning Tromsø;462;100;1;1;0;0;100;430;32;6;13;11;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T14:00+01:00;2022-03-08T15:00+01:00;08.03.2022;14:00;15:00;Totalt;1129;100;1;1;0;0;100;1066;63;16;19;23;5;5;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T15:00+01:00;2022-03-08T16:00+01:00;08.03.2022;15:00;16:00;1;1130;100;1;1;0;0;100;1088;42;17;7;17;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T15:00+01:00;2022-03-08T16:00+01:00;08.03.2022;15:00;16:00;2;566;100;1;1;0;0;100;524;42;9;11;20;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T15:00+01:00;2022-03-08T16:00+01:00;08.03.2022;15:00;16:00;Totalt i retning Kvaløya;1130;100;1;1;0;0;100;1088;42;17;7;17;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T15:00+01:00;2022-03-08T16:00+01:00;08.03.2022;15:00;16:00;Totalt i retning Tromsø;566;100;1;1;0;0;100;524;42;9;11;20;2;2;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T15:00+01:00;2022-03-08T16:00+01:00;08.03.2022;15:00;16:00;Totalt;1696;100;1;1;0;0;100;1612;84;26;18;37;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T16:00+01:00;2022-03-08T17:00+01:00;08.03.2022;16:00;17:00;1;1030;100;1;1;0;0;100;986;44;11;8;22;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T16:00+01:00;2022-03-08T17:00+01:00;08.03.2022;16:00;17:00;2;474;100;1;1;0;0;100;440;34;9;7;17;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T16:00+01:00;2022-03-08T17:00+01:00;08.03.2022;16:00;17:00;Totalt i retning Kvaløya;1031;100;1;1;0;0;100;987;44;11;8;22;3;3;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T16:00+01:00;2022-03-08T17:00+01:00;08.03.2022;16:00;17:00;Totalt i retning Tromsø;473;100;1;1;0;0;100;439;34;9;7;17;1;1;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T16:00+01:00;2022-03-08T17:00+01:00;08.03.2022;16:00;17:00;Totalt;1504;100;1;1;0;0;100;1426;78;20;15;39;4;4;0
02636V1125920;Sandnessundbrua;FV862 S2D1 m609;2022-03-08T17:00+01:00;2022-03-08T18:00+01:00;08.03.2022;17:00;18:00;1;543;100;1;1;0;0;100;521;22;6;7;9;0;0;0
