Trafikkregistreringspunkt;Navn;Vegreferanse;Fra;Til;År;Sesong;Trafikkmengde;Konfidensintervall start;Konfidensintervall slutt;Dekningsgrad (%);Antall døgn total;Antall døgn inkludert;Antall døgn ugyldig;Ikke gyldig lengde;Lengdekvalitetsgrad (%);Felt;< 5,6m;>= 5,6m;5,6m - 7,6m;7,6m - 12,5m;12,5m - 16,0m;>= 16,0m;16,0m - 24,0m;>= 24,0m
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-03-01T00:00+01:00;2015-06-01T00:00+02:00;2015;Vår;5768;5090;6446;41,3;92;38;8;263;95,4;4;4946;559;171;134;197;57;49;8
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-03-01T00:00+01:00;2015-06-01T00:00+02:00;2015;Vår;3042;2661;3423;41,3;92;38;8;2;99,9;6;2758;282;107;76;95;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-03-01T00:00+01:00;2015-06-01T00:00+02:00;2015;Vår;10986;9608;12364;41,3;92;38;8;381;96,5;Totalt i retning Langnestunnelen;9480;1125;308;379;359;80;69;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-03-01T00:00+01:00;2015-06-01T00:00+02:00;2015;Vår;9563;8417;10709;41,3;92;38;8;19;99,8;Totalt i retning Hamna;9261;283;108;133;27;14;14;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-03-01T00:00+01:00;2015-06-01T00:00+02:00;2015;Vår;20550;18028;23072;41,3;92;38;8;401;98;Totalt;18741;1409;416;512;386;94;83;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-06-01T00:00+02:00;2015-09-01T00:00+02:00;2015;Sommer;2185;2042;2328;100;92;92;0;8;99,6;1;2052;124;47;63;6;9;9;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-06-01T00:00+02:00;2015-09-01T00:00+02:00;2015;Sommer;2028;1863;2193;100;92;92;0;79;96,1;2;1674;275;34;166;56;18;16;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-06-01T00:00+02:00;2015-09-01T00:00+02:00;2015;Sommer;7336;6865;7807;100;92;92;0;5;99,9;3;7108;223;80;114;21;8;8;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-06-01T00:00+02:00;2015-09-01T00:00+02:00;2015;Sommer;5678;5323;6033;100;92;92;0;209;96,3;4;4905;565;176;153;180;56;49;7
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-06-01T00:00+02:00;2015-09-01T00:00+02:00;2015;Sommer;3111;2917;3305;100;92;92;0;1;100;6;2813;297;113;98;82;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-06-01T00:00+02:00;2015-09-01T00:00+02:00;2015;Sommer;10819;10110;11528;100;92;92;0;288;97,3;Totalt i retning Langnestunnelen;9394;1137;324;417;319;77;68;9
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-06-01T00:00+02:00;2015-09-01T00:00+02:00;2015;Sommer;9519;8926;10112;100;92;92;0;13;99,9;Totalt i retning Hamna;9159;347;127;176;27;16;16;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-06-01T00:00+02:00;2015-09-01T00:00+02:00;2015;Sommer;20338;19037;21639;100;92;92;0;301;98,5;Totalt;18553;1484;451;594;345;94;85;9
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-09-01T00:00+02:00;2015-12-01T00:00+01:00;2015;Høst;2620;2494;2746;100;91;91;0;11;99,6;1;2488;121;50;55;6;10;10;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-09-01T00:00+02:00;2015-12-01T00:00+01:00;2015;Høst;2272;2110;2434;100;91;91;0;134;94,1;2;1831;308;33;180;75;20;17;3
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-09-01T00:00+02:00;2015-12-01T00:00+01:00;2015;Høst;7833;7359;8307;100;91;91;0;8;99,9;3;7637;188;68;91;23;7;7;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-09-01T00:00+02:00;2015-12-01T00:00+01:00;2015;Høst;6247;5896;6598;100;91;91;0;328;94,7;4;5294;626;197;147;211;71;60;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-09-01T00:00+02:00;2015-12-01T00:00+01:00;2015;Høst;3202;3013;3391;100;91;91;0;2;99,9;6;2904;297;116;75;102;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-09-01T00:00+02:00;2015-12-01T00:00+01:00;2015;Høst;11723;11029;12417;100;91;91;0;463;96,1;Totalt i retning Langnestunnelen;10029;1231;347;402;388;94;81;13
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-09-01T00:00+02:00;2015-12-01T00:00+01:00;2015;Høst;10451;9860;11042;100;91;91;0;19;99,8;Totalt i retning Hamna;10124;308;117;146;28;17;16;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-09-01T00:00+02:00;2015-12-01T00:00+01:00;2015;Høst;22174;20891;23457;100;91;91;0;482;97,8;Totalt;20153;1540;464;547;417;111;97;14
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-12-01T00:00+01:00;2016-03-01T00:00+01:00;2016;Vinter;2580;2370;2790;65,6;91;60;31;9;99,7;1;2465;107;46;44;5;11;10;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-12-01T00:00+01:00;2016-03-01T00:00+01:00;2016;Vinter;2159;1934;2384;65,6;91;60;31;109;95;2;1789;261;22;152;73;15;13;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-12-01T00:00+01:00;2016-03-01T00:00+01:00;2016;Vinter;7528;6843;8213;65,6;91;60;31;14;99,8;3;7372;142;56;61;20;5;5;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-12-01T00:00+01:00;2016-03-01T00:00+01:00;2016;Vinter;6032;5529;6535;65,6;91;60;31;323;94,6;4;5192;516;154;115;189;60;52;8
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-12-01T00:00+01:00;2016-03-01T00:00+01:00;2016;Vinter;2982;2701;3263;65,6;91;60;31;1;100;6;2720;261;100;65;93;3;3;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-12-01T00:00+01:00;2016-03-01T00:00+01:00;2016;Vinter;11173;10172;12174;65,6;91;60;31;432;96,1;Totalt i retning Langnestunnelen;9702;1039;276;332;354;76;67;9
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-12-01T00:00+01:00;2016-03-01T00:00+01:00;2016;Vinter;10107;9232;10982;65,6;91;60;31;23;99,8;Totalt i retning Hamna;9836;248;102;105;25;16;15;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2015-12-01T00:00+01:00;2016-03-01T00:00+01:00;2016;Vinter;21280;19405;23155;65,6;91;60;31;455;97,9;Totalt;19538;1287;378;437;380;92;82;10
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-03-01T00:00+01:00;2016-06-01T00:00+02:00;2016;Vår;2398;2251;2545;98,2;92;91;1;11;99,5;1;2294;93;36;44;5;9;9;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-03-01T00:00+01:00;2016-06-01T00:00+02:00;2016;Vår;2029;1848;2210;98,2;92;91;1;98;95,2;2;1663;268;25;155;72;16;14;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-03-01T00:00+01:00;2016-06-01T00:00+02:00;2016;Vår;7387;6827;7947;98,2;92;91;1;8;99,9;3;7214;166;62;76;22;6;6;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-03-01T00:00+01:00;2016-06-01T00:00+02:00;2016;Vår;5883;5467;6299;98,2;92;91;1;259;95,6;4;5054;571;182;122;204;62;54;8
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-03-01T00:00+01:00;2016-06-01T00:00+02:00;2016;Vår;2988;2765;3211;98,2;92;91;1;1;100;6;2713;274;103;70;98;3;3;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-03-01T00:00+01:00;2016-06-01T00:00+02:00;2016;Vår;10902;10090;11714;98,2;92;91;1;357;96,7;Totalt i retning Langnestunnelen;9431;1113;311;347;374;81;71;10
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-03-01T00:00+01:00;2016-06-01T00:00+02:00;2016;Vår;9782;9086;10478;98,2;92;91;1;18;99,8;Totalt i retning Hamna;9506;258;98;120;26;14;14;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-03-01T00:00+01:00;2016-06-01T00:00+02:00;2016;Vår;20684;19177;22191;98,2;92;91;1;376;98,2;Totalt;18937;1372;409;467;400;95;85;10
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-06-01T00:00+02:00;2016-09-01T00:00+02:00;2016;Sommer;2382;2241;2523;99,6;92;92;0;11;99,5;1;2250;121;44;63;5;9;9;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-06-01T00:00+02:00;2016-09-01T00:00+02:00;2016;Sommer;1906;1751;2061;99,6;92;92;0;68;96,4;2;1585;252;28;151;59;15;13;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-06-01T00:00+02:00;2016-09-01T00:00+02:00;2016;Sommer;7686;7200;8172;99,6;92;92;0;10;99,9;3;7457;219;79;112;22;6;6;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-06-01T00:00+02:00;2016-09-01T00:00+02:00;2016;Sommer;6003;5641;6365;99,6;92;92;0;221;96,3;4;5188;594;193;161;179;61;53;8
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-06-01T00:00+02:00;2016-09-01T00:00+02:00;2016;Sommer;3164;2968;3360;99,6;92;92;0;1;100;6;2859;304;117;97;86;3;3;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-06-01T00:00+02:00;2016-09-01T00:00+02:00;2016;Sommer;11075;10368;11782;99,6;92;92;0;290;97,4;Totalt i retning Langnestunnelen;9634;1151;338;410;324;80;70;10
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-06-01T00:00+02:00;2016-09-01T00:00+02:00;2016;Sommer;10065;9455;10675;99,6;92;92;0;21;99,8;Totalt i retning Hamna;9706;339;122;175;27;15;14;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-06-01T00:00+02:00;2016-09-01T00:00+02:00;2016;Sommer;21140;19824;22456;99,6;92;92;0;311;98,5;Totalt;19340;1489;460;585;351;94;84;10
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-09-01T00:00+02:00;2016-12-01T00:00+01:00;2016;Høst;2729;2600;2858;99,9;91;91;0;12;99,6;1;2599;117;43;60;5;10;9;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-09-01T00:00+02:00;2016-12-01T00:00+01:00;2016;Høst;2255;2097;2413;99,9;91;91;0;119;94,7;2;1833;303;27;174;85;17;15;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-09-01T00:00+02:00;2016-12-01T00:00+01:00;2016;Høst;7995;7525;8465;99,9;91;91;0;11;99,9;3;7789;195;64;98;24;7;7;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-09-01T00:00+02:00;2016-12-01T00:00+01:00;2016;Høst;6423;6072;6774;99,9;91;91;0;342;94,7;4;5427;654;203;156;218;76;65;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-09-01T00:00+02:00;2016-12-01T00:00+01:00;2016;Høst;3261;3068;3454;99,9;91;91;0;2;99,9;6;2951;308;113;84;107;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-09-01T00:00+02:00;2016-12-01T00:00+01:00;2016;Høst;11941;11245;12637;99,9;91;91;0;463;96,1;Totalt i retning Langnestunnelen;10212;1266;343;415;410;98;84;14
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-09-01T00:00+02:00;2016-12-01T00:00+01:00;2016;Høst;10721;10129;11313;99,9;91;91;0;23;99,8;Totalt i retning Hamna;10387;310;107;158;29;17;16;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-09-01T00:00+02:00;2016-12-01T00:00+01:00;2016;Høst;22662;21376;23948;99,9;91;91;0;486;97,9;Totalt;20600;1577;450;573;439;115;100;15
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-12-01T00:00+01:00;2017-03-01T00:00+01:00;2017;Vinter;2496;2357;2635;100;90;90;0;10;99,6;1;2395;91;36;42;5;9;8;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-12-01T00:00+01:00;2017-03-01T00:00+01:00;2017;Vinter;2141;1977;2305;100;90;90;0;130;93,9;2;1737;274;22;149;88;15;13;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-12-01T00:00+01:00;2017-03-01T00:00+01:00;2017;Vinter;7530;7033;8027;100;90;90;0;11;99,9;3;7372;147;53;68;21;5;5;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-12-01T00:00+01:00;2017-03-01T00:00+01:00;2017;Vinter;6022;5660;6384;100;90;90;0;351;94,2;4;5126;545;169;115;201;60;52;8
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-12-01T00:00+01:00;2017-03-01T00:00+01:00;2017;Vinter;2966;2766;3166;100;90;90;0;1;100;6;2698;267;103;62;100;3;3;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-12-01T00:00+01:00;2017-03-01T00:00+01:00;2017;Vinter;11130;10411;11849;100;90;90;0;481;95,7;Totalt i retning Langnestunnelen;9562;1087;295;326;389;77;67;10
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-12-01T00:00+01:00;2017-03-01T00:00+01:00;2017;Vinter;10024;9397;10651;100;90;90;0;20;99,8;Totalt i retning Hamna;9767;237;88;110;25;14;13;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2016-12-01T00:00+01:00;2017-03-01T00:00+01:00;2017;Vinter;21154;19810;22498;100;90;90;0;501;97,6;Totalt;19329;1324;383;436;414;92;81;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-03-01T00:00+01:00;2017-06-01T00:00+02:00;2017;Vår;2373;2230;2516;100;92;92;0;16;99,3;1;2273;84;32;40;4;8;8;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-03-01T00:00+01:00;2017-06-01T00:00+02:00;2017;Vår;1953;1783;2123;100;92;92;0;87;95,5;2;1590;276;21;155;86;14;12;2
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-03-01T00:00+01:00;2017-06-01T00:00+02:00;2017;Vår;7281;6736;7826;100;92;92;0;9;99,9;3;7117;155;57;73;20;5;5;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-03-01T00:00+01:00;2017-06-01T00:00+02:00;2017;Vår;5935;5526;6344;100;92;92;0;269;95,5;4;5101;564;185;117;204;58;51;7
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-03-01T00:00+01:00;2017-06-01T00:00+02:00;2017;Vår;2939;2723;3155;100;92;92;0;0;100;6;2662;277;106;65;102;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-03-01T00:00+01:00;2017-06-01T00:00+02:00;2017;Vår;10828;10042;11614;100;92;92;0;356;96,7;Totalt i retning Langnestunnelen;9354;1118;313;337;392;76;67;9
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-03-01T00:00+01:00;2017-06-01T00:00+02:00;2017;Vår;9652;8978;10326;100;92;92;0;24;99,8;Totalt i retning Hamna;9389;239;89;112;24;13;12;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-03-01T00:00+01:00;2017-06-01T00:00+02:00;2017;Vår;20481;19022;21940;100;92;92;0;381;98,1;Totalt;18744;1356;402;450;416;89;79;10
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-06-01T00:00+02:00;2017-09-01T00:00+02:00;2017;Sommer;2382;2238;2526;100;92;92;0;14;99,4;1;2251;118;39;65;5;9;8;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-06-01T00:00+02:00;2017-09-01T00:00+02:00;2017;Sommer;1368;1243;1493;100;92;92;0;23;98,3;2;1082;263;18;158;77;9;8;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-06-01T00:00+02:00;2017-09-01T00:00+02:00;2017;Sommer;7574;7065;8083;100;92;92;0;8;99,9;3;7349;217;78;113;22;5;5;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-06-01T00:00+02:00;2017-09-01T00:00+02:00;2017;Sommer;6484;6069;6899;100;92;92;0;251;96,1;4;5588;646;223;169;183;70;60;10
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-06-01T00:00+02:00;2017-09-01T00:00+02:00;2017;Sommer;3172;2962;3382;100;92;92;0;2;99,9;6;2856;314;117;98;95;4;4;0
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-06-01T00:00+02:00;2017-09-01T00:00+02:00;2017;Sommer;11025;10291;11759;100;92;92;0;275;97,5;Totalt i retning Langnestunnelen;9527;1223;358;426;355;84;73;11
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-06-01T00:00+02:00;2017-09-01T00:00+02:00;2017;Sommer;9954;9312;10596;100;92;92;0;21;99,8;Totalt i retning Hamna;9599;334;117;177;26;14;13;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-06-01T00:00+02:00;2017-09-01T00:00+02:00;2017;Sommer;20980;19604;22356;100;92;92;0;297;98,6;Totalt;19126;1557;475;603;381;98;86;12
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-09-01T00:00+02:00;2017-12-01T00:00+01:00;2017;Høst;2580;2461;2699;100;91;91;0;13;99,5;1;2458;110;40;54;6;10;9;1
14843V1125937;Giæverbukta nord;EV8 S1D10 m31;2017-09-01T00:00+02:00;2017-12-01T00:00+01:00;2017;Høst;1740;1615;1865;100;91;91;0;39;97,8;2;1395;306;23;171;98;14;13;1
